NAME,LATITUDE,LONGITUDE,TYPE
Major General Griesbach,53.60549951,-113.4982586,Ball Diamond
St Elizabeth Seton,53.59522962,-113.3947845,Ball Diamond
Rosslyn,53.59464684,-113.5154677,Ball Diamond
Forest Heights,53.5437283,-113.4528977,Ball Diamond
John Fry Park,53.4611894,-113.4808961,Ball Diamond
Oleskiw,53.49875982,-113.608742,Ball Diamond
Glenora,53.54358367,-113.5556449,Ball Diamond
St Agnes W,53.49994778,-113.5053865,Ball Diamond
St Charles,53.63114261,-113.5025076,Ball Diamond
Ben Calf Robe,53.57116612,-113.4377544,Ball Diamond
Westmount,53.561891,-113.5472652,Ball Diamond
St Bernard,53.53427077,-113.4387154,Ball Diamond
North Glenora,53.55516308,-113.5568098,Ball Diamond
McArthur,53.59731036,-113.5476873,Ball Diamond
Northmount,53.60430181,-113.4812357,Ball Diamond
Greenfield,53.47196838,-113.5231736,Ball Diamond
St Hilda,53.47501045,-113.4519336,Ball Diamond
Hairsine,53.60508548,-113.3934624,Ball Diamond
St Pius X,53.57817009,-113.5442204,Ball Diamond
Garneau,53.52256518,-113.51415,Ball Diamond
Mill Woods Park,53.45450707,-113.4426638,Ball Diamond
Terrace Heights,53.54010915,-113.4354555,Ball Diamond
Braemar,53.53114058,-113.4260571,Ball Diamond
St Martha,53.50671048,-113.6367366,Ball Diamond
Bishop Greschuk,53.63623988,-113.4810933,Ball Diamond
Ritchie,53.51123761,-113.4808292,Ball Diamond
St Maria Goretti,53.58568599,-113.4115113,Ball Diamond
St Justin,53.51736419,-113.6214756,Ball Diamond
Forest Heights Park,53.5420426,-113.4588682,Ball Diamond
Tipaskan,53.46269619,-113.4572451,Ball Diamond
Spruce Avenue,53.56471149,-113.4973275,Ball Diamond
Kensington,53.59641443,-113.5290728,Ball Diamond
Grand Trunk,53.59184057,-113.5126034,Ball Diamond
Poplar Park,53.62689749,-113.469149,Ball Diamond
Bishop Savaryn,53.62364705,-113.50602,Ball Diamond
Archbishop Joseph MacNeil,53.46063232,-113.5786184,Ball Diamond
James Gibbons,53.52221782,-113.5847916,Ball Diamond
Twin Brooks,53.44149886,-113.5280999,Ball Diamond
St Brendan,53.52932579,-113.4240724,Ball Diamond
Horse Hills,53.6566131,-113.34216,Ball Diamond
Poplar Park,53.62777967,-113.4709527,Ball Diamond
Lady Prairies,53.49857714,-113.6248274,Ball Diamond
Rosslyn,53.59322111,-113.5144721,Ball Diamond
St Monica,53.49310848,-113.5744385,Ball Diamond
Our Lady of Peace,53.55552713,-113.5966094,Ball Diamond
St Leo,53.57652921,-113.4257919,Ball Diamond
Hardisty,53.54780532,-113.4301589,Ball Diamond
Keheewin,53.44992446,-113.5022536,Ball Diamond
DS McKenzie,53.4771281,-113.5071783,Ball Diamond
St Anne,53.60455773,-113.4841305,Ball Diamond
McKee,53.48581638,-113.5107689,Ball Diamond
Ermineskin,53.4581555,-113.504791,Ball Diamond
The Hamptons,53.49054066,-113.6861611,Ball Diamond
Herb Link,53.62425319,-113.5348276,Ball Diamond
St Gabriel,53.55179398,-113.4240734,Ball Diamond
Rideau Park,53.47786421,-113.5067055,Ball Diamond
Dovercourt,53.57568749,-113.5626836,Ball Diamond
Malmo,53.48346036,-113.5290498,Ball Diamond
Twin Brooks,53.44260364,-113.5288606,Ball Diamond
Airway Park,53.561211,-113.5142895,Ball Diamond
Mill Woods Park,53.4545077,-113.4437955,Ball Diamond
Brookside,53.49256995,-113.5699769,Ball Diamond
Homesteader,53.58760234,-113.4125463,Ball Diamond
Rundle Park,53.55712771,-113.3858929,Ball Diamond
S Bruce Smith,53.48963884,-113.6393898,Ball Diamond
St Elizabeth,53.46991302,-113.4537256,Ball Diamond
Tevie Miller,53.49933712,-113.5272031,Ball Diamond
Belmead,53.5259476,-113.6373745,Ball Diamond
Oliver,53.54448369,-113.5240819,Ball Diamond
St Rose,53.52204007,-113.5700071,Ball Diamond
ME Lazerte,53.60772177,-113.4463177,Ball Diamond
St Martin,53.48953447,-113.5221319,Ball Diamond
Castle Downs,53.6190062,-113.5252628,Ball Diamond
St Cecilia,53.59339234,-113.4794408,Ball Diamond
Fulton Place,53.54594713,-113.4252201,Ball Diamond
McCauley,53.55334917,-113.4840653,Ball Diamond
York Park,53.60140523,-113.4336958,Ball Diamond
Allendale,53.50237753,-113.5029296,Ball Diamond
